ID_GVA46|FILLER|ESTADO_VTO|FECHA_VTO|IMPORTE_VT|N_COMP|T_COMP|ESTADO_UNI|IMP_VT_UNI|IMP_VT_EXT|IM_VT_UN_E|ALTERNATIVA_1|IMPORTE_TOTAL_1|ALTERNATIVA_2|IMPORTE_TOTAL_2|AJUSTA_COBRO_FECHA_ALTERNATIVA|UNIDADES_TOTAL_1|UNIDADES_TOTAL_2
4486||PAG|2023-02-10 00:00:00|6900,0000000|B0000300002422|FAC|PAG|35,3800000|,0000000|,0000000|2023-02-20 00:00:00|7107,0000000|2023-03-02 00:00:00|7314,0000000|S|36,4400000|37,5000000
4487||PAG|2023-02-10 00:00:00|5300,0000000|B0000300002423|FAC|PAG|27,1800000|,0000000|,0000000|2023-02-20 00:00:00|5459,0000000|2023-03-02 00:00:00|5618,0000000|S|28,0000000|28,8100000
4488||PAG|2023-02-10 00:00:00|5300,0000000|B0000300002424|FAC|PAG|27,1800000|,0000000|,0000000|2023-02-20 00:00:00|5459,0000000|2023-03-02 00:00:00|5618,0000000|S|28,0000000|28,8100000
4489||PAG|2023-02-10 00:00:00|5300,0000000|B0000300002425|FAC|PAG|27,1800000|,0000000|,0000000|2023-02-20 00:00:00|5459,0000000|2023-03-02 00:00:00|5618,0000000|S|28,0000000|28,8100000
4490||PAG|2023-02-10 00:00:00|5300,0000000|B0000300002426|FAC|PEN|27,1800000|,0000000|,0000000|2023-02-20 00:00:00|5459,0000000|2023-03-02 00:00:00|5618,0000000|S|28,0000000|28,8100000
4491||PAG|2023-02-10 00:00:00|5300,0000000|B0000300002427|FAC|PEN|27,1800000|,0000000|,0000000|2023-02-20 00:00:00|5459,0000000|2023-03-02 00:00:00|5618,0000000|S|28,0000000|28,8100000
4492||PAG|2023-02-10 00:00:00|5300,0000000|B0000300002428|FAC|PEN|27,1800000|,0000000|,0000000|2023-02-20 00:00:00|5459,0000000|2023-03-02 00:00:00|5618,0000000|S|28,0000000|28,8100000
4493||PAG|2023-02-10 00:00:00|5300,0000000|B0000300002429|FAC|PAG|27,1800000|,0000000|,0000000|2023-02-20 00:00:00|5459,0000000|2023-03-02 00:00:00|5618,0000000|S|28,0000000|28,8100000
4494||PAG|2023-02-10 00:00:00|5300,0000000|B0000300002430|FAC|PAG|27,1800000|,0000000|,0000000|2023-02-20 00:00:00|5459,0000000|2023-03-02 00:00:00|5618,0000000|S|28,0000000|28,8100000
4495||PAG|2023-02-10 00:00:00|5300,0000000|B0000300002431|FAC|PAG|27,1800000|,0000000|,0000000|2023-02-20 00:00:00|5459,0000000|2023-03-02 00:00:00|5618,0000000|S|28,0000000|28,8100000
4496||PAG|2023-02-10 00:00:00|5300,0000000|B0000300002432|FAC|PAG|27,1800000|,0000000|,0000000|2023-02-20 00:00:00|5459,0000000|2023-03-02 00:00:00|5618,0000000|S|28,0000000|28,8100000
4497||PAG|2023-02-10 00:00:00|5300,0000000|B0000300002433|FAC|PAG|27,1800000|,0000000|,0000000|2023-02-20 00:00:00|5459,0000000|2023-03-02 00:00:00|5618,0000000|S|28,0000000|28,8100000
4498||PAG|2023-02-10 00:00:00|5300,0000000|B0000300002434|FAC|PAG|27,1800000|,0000000|,0000000|2023-02-20 00:00:00|5459,0000000|2023-03-02 00:00:00|5618,0000000|S|28,0000000|28,8100000
